0.5	-315.7747814	-315.897442	-315.891923	-315.7829586	-315.9284968	-315.9222785
0.52	-317.0149375	-317.1380437	-317.1326501	-317.0229827	-317.1679451	-317.1618796
0.54	-318.0787123	-318.2025889	-318.1972601	-318.0866156	-318.2313726	-318.2253974
0.56	-318.993522	-319.118462	-319.1131436	-319.0012827	-319.1461671	-319.1402265
0.58	-319.7822751	-319.9085465	-319.9031907	-319.7899002	-319.9352147	-319.9292599
0.6	-320.464176	-320.5920312	-320.5865965	-320.471678	-320.6177059	-320.611694
0.62	-321.0553834	-321.1850771	-321.1795252	-321.0627766	-321.2098006	-321.2036928
0.64	-321.569566	-321.7013921	-321.6956827	-321.576864	-321.7252038	-321.7189589
0.66	-322.0184064	-322.1527897	-322.1468654	-322.0256192	-322.1757237	-322.1692838
0.68	-322.4121454	-322.5499214	-322.5436525	-322.4192777	-322.5720054	-322.5652403
0.7	-322.7604432	-322.9039333	-322.8968496	-322.7674937	-322.925189	-322.9176278
0.72	-323.0745563	-323.2323546	-323.2221485	-323.0815192	-323.2527986	-323.2421334
0.74	-323.3727352	-323.5697561	-323.5487868	-323.379602	-323.5894026	-323.5679921
0.76	-323.679387	-323.9064486	-323.8894947	-323.6861488	-323.9253123	-323.9079346
0.78	-324.2153339	-324.4388263	-324.4230174	-324.2219834	-324.4569246	-324.4407089
0.8	-324.5793517	-324.7948557	-324.7808622	-324.5858849	-324.8122106	-324.7978267
0.82	-324.9142043	-325.1258712	-325.1127186	-324.9206213	-325.1425104	-325.1289832
0.84	-325.2190824	-325.4288788	-325.4161539	-325.2253868	-325.444835	-325.4317506
0.86	-325.495256	-325.7041715	-325.6916864	-325.5014543	-325.7194818	-325.7066516
0.88	-325.7447336	-325.9533119	-325.9409692	-325.7508341	-325.9680165	-325.9553421
0.9	-325.9697344	-326.1782949	-326.1660378	-325.9757459	-326.1924351	-326.1798589
0.92	-326.1724676	-326.381206	-326.368998	-326.1783982	-326.3948229	-326.3823077
0.94	-326.3550369	-326.5640756	-326.5518921	-326.3608932	-326.5772085	-326.5647285
0.96	-326.5194002	-326.728816	-326.716639	-326.5251865	-326.7415014	-326.729038
0.98	-326.6673557	-326.8771961	-326.8650123	-326.6730741	-326.8894669	-326.8770059
1	-326.8005417	-327.0108351	-326.9986344	-326.806192	-327.0227203	-327.0102506
1.02	-326.9204431	-327.1312054	-327.1189797	-326.9260228	-327.1427297	-327.1302428
1.04	-327.0284006	-327.23964	-327.2273829	-327.0339058	-327.2508244	-327.2383131
1.06	-327.1256224	-327.3373422	-327.3250485	-327.1310481	-327.3482043	-327.3356629
1.08	-327.2131954	-327.4253966	-327.4130618	-327.2185359	-327.4359509	-327.4233744
1.1	-327.2920962	-327.5047791	-327.4923993	-327.2973463	-327.5150381	-327.5024223
1.12	-327.3632023	-327.5763674	-327.5639392	-327.3683572	-327.5863419	-327.5736833
1.14	-327.4273012	-327.6409506	-327.628471	-327.4323575	-327.6506507	-327.637946
1.16	-327.4851003	-327.6992379	-327.6867042	-327.490056	-327.7086734	-327.6959196
1.18	-327.5372343	-327.7518668	-327.7392762	-327.5420891	-327.7610474	-327.7482417
1.2	-327.5842733	-327.79941	-327.7867599	-327.5890285	-327.8083459	-327.7954856
1.22	-327.6267289	-327.8423824	-327.8296703	-327.6313875	-327.8510841	-327.8381666
1.24	-327.6650609	-327.8812465	-327.8684699	-327.6696267	-327.8897249	-327.8767477
1.26	-327.6996817	-327.9164179	-327.9035742	-327.7041599	-327.9246841	-327.9116444
1.28	-327.7309623	-327.9482698	-327.9353566	-327.735358	-327.9563347	-327.9432301
1.3	-327.7592356	-327.977137	-327.9641518	-327.7635542	-327.9850112	-327.971839
1.32	-327.7848007	-328.0033197	-327.9902603	-327.7890472	-328.0110129	-327.9977709
1.34	-327.8079266	-328.0270866	-328.0139509	-327.8121053	-328.0346078	-328.0212937
1.36	-327.8288549	-328.048678	-328.0354641	-327.8329692	-328.0560349	-328.0426469
1.38	-327.8478029	-328.0683082	-328.0550149	-327.8518552	-328.0755075	-328.062044
1.4	-327.864966	-328.0861684	-328.0727948	-327.8689578	-328.0932154	-328.0796755
1.42	-327.88052	-328.1024286	-328.0889746	-327.8844517	-328.1093277	-328.0957111
1.44	-327.8946231	-328.1172403	-328.1037063	-327.8984944	-328.1239948	-328.1103017
1.46	-327.9074178	-328.1307385	-328.1171257	-327.9112279	-328.137351	-328.1235824
1.48	-327.9190325	-328.1430438	-328.1293541	-327.92278	-328.1495162	-328.135674
1.5	-327.9295828	-328.1542643	-328.1405003	-327.9332665	-328.1605983	-328.146685
1.6	-327.9696857	-328.1972156	-328.1831365	-327.9730361	-328.2028838	-328.1886692
1.7	-327.995174	-328.2245534	-328.2102649	-327.9982063	-328.2296249	-328.2152124
1.8	-328.0119755	-328.2424066	-328.2279926	-328.0147423	-328.2469773	-328.2324493
1.9	-328.0236047	-328.2545999	-328.2401122	-328.0261594	-328.2587605	-328.2441671
2	-328.0321047	-328.2633913	-328.2488561	-328.0344867	-328.2672119	-328.252579
2.1	-328.0386437	-328.2700725	-328.255501	-328.0408783	-328.2736027	-328.2589408
2.2	-328.0438875	-328.2753782	-328.2607731	-328.0459867	-328.2786482	-328.2639598
2.3	-328.0482184	-328.2797295	-328.2650897	-328.0501835	-328.282754	-328.2680379
2.4	-328.0518606	-328.2833713	-328.268695	-328.0536871	-328.2861567	-328.271411
2.5	-328.0549499	-328.2864505	-328.2717369	-328.0566352	-328.2890029	-328.2742262
