0.5	-315.7829586	-316.01868011	-316.1204354	-315.9284968	-316.26237609	-315.9222785	-316.2413205	-316.3702992
0.52	-317.0229827	-317.22967588	-317.3303651	-317.1679451	-317.47332667	-317.1618796	-317.4522082	-317.5801392
0.54	-318.0866156	-318.26939185	-318.3699051	-318.2313726	-318.51325944	-318.2253974	-318.4920658	-318.619885
0.56	-319.0012827	-319.16418815	-319.2652445	-319.1461671	-319.40852950	-319.1402265	-319.3872507	-319.5156903
0.58	-319.7899002	-319.93606779	-320.0382561	-319.9352147	-320.18114696	-319.9292599	-320.1597735	-320.2893948
0.6	-320.471678	-320.60348489	-320.7072872	-320.6177059	-320.84957430	-320.611694	-320.8280969	-320.9593185
0.62	-321.0627766	-321.18199704	-321.2878024	-321.2098006	-321.42936906	-321.2036928	-321.4077799	-321.5409097
0.64	-321.576864	-321.68479762	-321.7929187	-321.7252038	-321.93372222	-321.7189589	-321.9120164	-322.0472928
0.66	-322.0256192	-322.12317311	-322.233885	-322.1757237	-322.37395554	-322.1692838	-322.3521281	-322.4897789
0.68	-322.4192777	-322.50696541	-322.6205975	-322.5720054	-322.76011459	-322.5652403	-322.7381343	-322.8784913
0.7	-322.7674937	-322.84526098	-322.9624655	-322.925189	-323.10221590	-322.9176278	-323.0798411	-323.2236876
0.72	-323.0815192	-323.14823158	-323.2709384	-323.2527986	-323.41538463	-323.2421334	-323.3906417	-323.5405171
0.74	-323.379602	-323.43364569	-323.5668704	-323.5894026	-323.73244728	-323.5679921	-323.7000773	-323.8600218
0.76	-323.6861488	-323.73250684	-323.8784847	-323.9253123	-324.07311622	-323.9079346	-324.0306148	-324.194134
0.78	-324.2219834	-324.35560790	-324.3964681	-324.4569246	-324.64112211	-324.4407089	-324.6249332	-324.6957751
0.8	-324.5858849	-324.71520444	-324.7515867	-324.8122106	-324.99336249	-324.7978267	-324.9790785	-325.044324
0.82	-324.9206213	-325.04493451	-325.0782356	-325.1425104	-325.31938738	-325.1289832	-325.3059721	-325.3674885
0.84	-325.2253868	-325.34472022	-325.3758551	-325.444835	-325.61717061	-325.4317506	-325.6042042	-325.6631609
0.86	-325.5014543	-325.61610881	-325.6456954	-325.7194818	-325.88741514	-325.7066516	-325.8747097	-325.931869
0.88	-325.7508341	-325.86120152	-325.8896623	-325.9680165	-326.13183904	-325.9553421	-326.1192983	-326.1751675
0.9	-325.9757459	-326.08222890	-326.1098555	-326.1924351	-326.35248134	-326.1798589	-326.3400494	-326.3949716
0.92	-326.1783982	-326.28137488	-326.30837	-326.3948229	-326.55142169	-326.3823077	-326.5390628	-326.5932727
0.94	-326.3608932	-326.46070263	-326.4872082	-326.5772085	-326.73066273	-326.5647285	-326.7183524	-326.7720126
0.96	-326.5251865	-326.62212511	-326.6482414	-326.7415014	-326.89208090	-326.729038	-326.8798011	-326.9330263
0.98	-326.6730741	-326.76739705	-326.7931954	-326.8894669	-327.03740853	-326.8770059	-327.0251455	-327.0780181
1	-326.806192	-326.89811725	-326.9236493	-327.0227203	-327.16823087	-327.0102506	-327.1559737	-327.2085544
1.02	-326.9260228	-327.01573620	-327.04104	-327.1427297	-327.28599059	-327.1302428	-327.2737301	-327.3260656
1.04	-327.0339058	-327.12156602	-327.1466702	-327.2508244	-327.39199586	-327.2383131	-327.3797244	-327.4318516
1.06	-327.1310481	-327.21679140	-327.2417181	-327.3482043	-327.48743009	-327.3356629	-327.4751408	-327.5270902
1.08	-327.2185359	-327.30248055	-327.3272468	-327.4359509	-327.57336206	-327.4233744	-327.5610487	-327.6128463
1.1	-327.2973463	-327.37959580	-327.4042151	-327.5150381	-327.65075603	-327.5024223	-327.638413	-327.6900812
1.12	-327.3683572	-327.44900353	-327.4734862	-327.5863419	-327.72048125	-327.5736833	-327.708103	-327.7596618
1.14	-327.4323575	-327.51148334	-327.5358368	-327.6506507	-327.78332084	-327.637946	-327.7709023	-327.8223691
1.16	-327.490056	-327.56773643	-327.591966	-327.7086734	-327.83997998	-327.6959196	-327.827516	-327.8789065
1.18	-327.5420891	-327.61839325	-327.6425019	-327.7610474	-327.89109333	-327.7482417	-327.8785788	-327.9299072
1.2	-327.5890285	-327.66402042	-327.6880097	-327.8083459	-327.93723172	-327.7954856	-327.9246617	-327.9759407
1.22	-327.6313875	-327.70512705	-327.7289971	-327.8510841	-327.97890829	-327.8381666	-327.9662776	-328.0175196
1.24	-327.6696267	-327.74217045	-327.7659206	-327.8897249	-328.01658389	-327.8767477	-328.0038874	-328.0551042
1.26	-327.7041599	-327.77556133	-327.7991906	-327.9246841	-328.05067206	-327.9116444	-328.0379048	-328.0891082
1.28	-327.735358	-327.80566854	-327.8291757	-327.9563347	-328.08154338	-327.9432301	-328.0687002	-328.1199024
1.3	-327.7635542	-327.83282342	-327.8562075	-327.9850112	-328.10952945	-327.971839	-328.0966056	-328.1478191
1.32	-327.7890472	-327.85732365	-327.8805841	-328.0110129	-328.13492643	-327.9977709	-328.1219172	-328.173155
1.34	-327.8121053	-327.87943678	-327.9025734	-328.0346078	-328.15799824	-328.0212937	-328.1448994	-328.1961743
1.36	-327.8329692	-327.89940347	-327.9224163	-328.0560349	-328.17897946	-328.0426469	-328.1657873	-328.2171118
1.38	-327.8518552	-327.91744022	-327.9403294	-328.0755075	-328.19807807	-328.062044	-328.1847896	-328.2361751
1.4	-327.8689578	-327.93374196	-327.9565075	-328.0932154	-328.21547806	-328.0796755	-328.2020911	-328.2535471
1.42	-327.8844517	-327.94848422	-327.9711257	-328.1093277	-328.23134196	-328.0957111	-328.2178553	-328.2693889
